[2025-09-10 14:12:14] opensid.ERROR: Severity: error --> Exception: Method Illuminate\Http\Response::json does not exist. /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/illuminate/macroable/Traits/Macroable.php 112
[2025-09-10 07:12:50] opensid.ERROR: Severity: 8192 --> Creation of dynamic property CI_URI::$config is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/URI.php 102
[2025-09-10 07:12:50] opensid.ERROR: Severity: 8192 --> Creation of dynamic property MY_Router::$uri is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/Router.php 128
[2025-09-10 07:12:50] opensid.ERROR: Severity: 8192 --> Creation of dynamic property Utama::$benchmark is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/Controller.php 83
[2025-09-10 07:12:50] opensid.ERROR: Severity: 8192 --> Creation of dynamic property Utama::$hooks is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/Controller.php 83
[2025-09-10 07:12:50] opensid.ERROR: Severity: 8192 --> Creation of dynamic property Utama::$config is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/Controller.php 83
[2025-09-10 07:12:50] opensid.ERROR: Severity: 8192 --> Creation of dynamic property Utama::$utf8 is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/Controller.php 83
[2025-09-10 07:12:50] opensid.ERROR: Severity: 8192 --> Creation of dynamic property Utama::$uri is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/Controller.php 83
[2025-09-10 07:12:50] opensid.ERROR: Severity: 8192 --> Creation of dynamic property Utama::$exceptions is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/Controller.php 83
[2025-09-10 07:12:50] opensid.ERROR: Severity: 8192 --> Creation of dynamic property Utama::$router is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/Controller.php 83
[2025-09-10 07:12:50] opensid.ERROR: Severity: 8192 --> Creation of dynamic property Utama::$output is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/Controller.php 83
[2025-09-10 07:12:50] opensid.ERROR: Severity: 8192 --> Creation of dynamic property Utama::$security is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/Controller.php 83
[2025-09-10 07:12:50] opensid.ERROR: Severity: 8192 --> Creation of dynamic property Utama::$input is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/Controller.php 83
[2025-09-10 07:12:50] opensid.ERROR: Severity: 8192 --> Creation of dynamic property Utama::$lang is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/Controller.php 83
[2025-09-10 07:12:56] opensid.ERROR: Severity: 8192 --> Creation of dynamic property CI_URI::$config is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/URI.php 102
[2025-09-10 07:12:56] opensid.ERROR: Severity: 8192 --> Creation of dynamic property MY_Router::$uri is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/Router.php 128
[2025-09-10 07:12:56] opensid.ERROR: Severity: 8192 --> Creation of dynamic property AttendanceController::$benchmark is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/Controller.php 83
[2025-09-10 07:12:56] opensid.ERROR: Severity: 8192 --> Creation of dynamic property AttendanceController::$hooks is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/Controller.php 83
[2025-09-10 07:12:56] opensid.ERROR: Severity: 8192 --> Creation of dynamic property AttendanceController::$config is deprecated /Users/akmalfadli/Developer/desa-digital/wiradesa/vendor/codeigniter/framework/system/core/Controller.php 83
